RowID,Original Row information,Date,Party,Location,Speaker,SpeakerInfo,Question,Topic,Discourse w/names,Discourse w/o names
11,11,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,1,Economy,"GUTHRIE: All right. So with that business out of the way, we want to get to it. And we’ll start this evening with Senator Elizabeth Warren., Senator, good evening to you.","All right. So with that business out of the way, we want to get to it. And we’ll start this evening with Senator Elizabeth Warren., Senator, good evening to you."
12,12,6/26/2019,Democrat,"Miami, Florida",WARREN,Candidate,1,Economy,WARREN: Thank you. Good to be here.,Thank you. Good to be here.
13,13,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,1,Economy,"GUTHRIE: You have many plans — free college, free child care, government health care, cancellation of student debt, new taxes, new regulations, the breakup of major corporations. But this comes at a time when 71 percent of Americans say the economy is doing well, including 60 percent of Democrats. What do you say to those who worry this kind of significant change could be risky to the economy?","You have many plans — free college, free child care, government health care, cancellation of student debt, new taxes, new regulations, the breakup of major corporations. But this comes at a time when 71 percent of Americans say the economy is doing well, including 60 percent of Democrats. What do you say to those who worry this kind of significant change could be risky to the economy?"
14,14,6/26/2019,Democrat,"Miami, Florida",WARREN,Candidate,1,Economy,"WARREN: So I think of it this way. Who is this economy really working for? It’s doing great for a thinner and thinner slice at the top. It’s doing great for giant drug companies. It’s just not doing great for people who are trying to get a prescription filled. It’s doing great for people who want to invest in private prisons, just not for the African-Americans and Latinos whose families are torn apart, whose lives are destroyed, and whose communities are ruined. It’s doing great for giant oil companies that want to drill everywhere, just not for the rest of us who are watching climate change bear down upon us. When you’ve got a government, when you’ve got an economy that does great for those with money and isn’t doing great for everyone else, that is corruption, pure and simple. We need to call it out. We need to attack it head on. And we need to make structural change in our government, in our economy, and in our country.","So I think of it this way. Who is this economy really working for? It’s doing great for a thinner and thinner slice at the top. It’s doing great for giant drug companies. It’s just not doing great for people who are trying to get a prescription filled. It’s doing great for people who want to invest in private prisons, just not for the African-Americans and Latinos whose families are torn apart, whose lives are destroyed, and whose communities are ruined. It’s doing great for giant oil companies that want to drill everywhere, just not for the rest of us who are watching climate change bear down upon us. When you’ve got a government, when you’ve got an economy that does great for those with money and isn’t doing great for everyone else, that is corruption, pure and simple. We need to call it out. We need to attack it head on. And we need to make structural change in our government, in our economy, and in our country."
15,15,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,2,Klobuchar's rivals programs,"GUTHRIE: Senator Klobuchar, you’ve called programs like free college something you might do if you were, quote, “a magic genie.” To be blunt, are the government programs and benefits that some of your rivals are offering giving your voters, people, a false sense of what’s actually achievable?","Senator Klobuchar, you’ve called programs like free college something you might do if you were, quote, “a magic genie.” To be blunt, are the government programs and benefits that some of your rivals are offering giving your voters, people, a false sense of what’s actually achievable?"
16,16,6/26/2019,Democrat,"Miami, Florida",KLOBUCHAR,Candidate,2,Klobuchar's rivals programs,"KLOBUCHAR: Well, first, the economy. We know that not everyone is sharing in this prosperity. And Donald Trump just sits in the White House and gloats about what’s going on, when you have so many people that are having trouble affording college and having trouble affording their premiums.
So I do get concerned about paying for college for rich kids. I do. But I think my plan is a good one. And my plan would be to, first of all, make community college free and make sure that everyone else besides that top percentile gets help with their education.
My own dad and my sister got their first degrees with community college. There’s many paths to success, as well as certifications.
Secondly, I’d used Pell grants. I’d double them from $6,000 to $12,000 a year and expand it to the number of families that get covered, to families that make up to $100,000.
And then the third thing I would do is make it easier for students to pay off their student loans. Because I can tell you this: If billionaires can pay off their yachts, students should be able to pay off their student loans.","Well, first, the economy. We know that not everyone is sharing in this prosperity. And Donald Trump just sits in the White House and gloats about what’s going on, when you have so many people that are having trouble affording college and having trouble affording their premiums.
So I do get concerned about paying for college for rich kids. I do. But I think my plan is a good one. And my plan would be to, first of all, make community college free and make sure that everyone else besides that top percentile gets help with their education.
My own dad and my sister got their first degrees with community college. There’s many paths to success, as well as certifications.
Secondly, I’d used Pell grants. I’d double them from $6,000 to $12,000 a year and expand it to the number of families that get covered, to families that make up to $100,000.
And then the third thing I would do is make it easier for students to pay off their student loans. Because I can tell you this: If billionaires can pay off their yachts, students should be able to pay off their student loans."
17,17,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,2,Klobuchar's rivals programs,"GUTHRIE: That’s time, thank you.","That’s time, thank you."
18,18,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,3,Top tax rate,"GUTHRIE: Congressman O’Rourke, what we’ve just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable. In that vein, some Democrats want a marginal individual tax rate of 70 percent on the very highest earners, those making more than $10 million a year. Would you support that? And if not, what would your top individual rate be?","Congressman O’Rourke, what we’ve just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable. In that vein, some Democrats want a marginal individual tax rate of 70 percent on the very highest earners, those making more than $10 million a year. Would you support that? And if not, what would your top individual rate be?"
19,19,6/26/2019,Democrat,"Miami, Florida",O’ROURKE,Candidate,3,Top tax rate,"O’ROURKE: This economy has got to work for everyone. And right now, we know that it isn’t. And it’s going to take all of us coming together to make sure that it does. (SPEAKING IN SPANISH) Right now, we have a system that favors those who can pay for access and outcomes. That’s how you explain an economy that is rigged to corporations and to the very wealthiest. A $2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality. A new democracy that is revived because we’ve returned power to the people, no PACs, no gerrymandering, automatic and same-day voter registration to bring in more voters, and a new Voting Rights Act to get rid of the barriers that are in place now…","This economy has got to work for everyone. And right now, we know that it isn’t. And it’s going to take all of us coming together to make sure that it does. (SPEAKING IN SPANISH) Right now, we have a system that favors those who can pay for access and outcomes. That’s how you explain an economy that is rigged to corporations and to the very wealthiest. A $2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality. A new democracy that is revived because we’ve returned power to the people, no PACs, no gerrymandering, automatic and same-day voter registration to bring in more voters, and a new Voting Rights Act to get rid of the barriers that are in place now…"
20,20,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,3,Top tax rate,GUTHRIE: Congressman O’Rourke…,Congressman O’Rourke…
21,21,6/26/2019,Democrat,"Miami, Florida",O’ROURKE,Candidate,3,Top tax rate,O’ROURKE: That’s how we each have a voice in our democracy and make this economy work for everybody.,That’s how we each have a voice in our democracy and make this economy work for everybody.
22,22,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,3,Top tax rate,"GUTHRIE: Congressman, that’s time, sir. I’ll give you 10 seconds to answer if you want to answer the direct question. Would you support a 70 percent individual marginal tax rate? Yes, no, or pass?","Congressman, that’s time, sir. I’ll give you 10 seconds to answer if you want to answer the direct question. Would you support a 70 percent individual marginal tax rate? Yes, no, or pass?"
23,23,6/26/2019,Democrat,"Miami, Florida",O’ROURKE,Candidate,3,Top tax rate,O’ROURKE: I would support a tax rate and a tax code that is fair to everyone. Tax capital at the same right…,I would support a tax rate and a tax code that is fair to everyone. Tax capital at the same right…
24,24,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,3,Top tax rate,GUTHRIE: Seventy percent?,Seventy percent?
25,25,6/26/2019,Democrat,"Miami, Florida",O’ROURKE,Candidate,3,Top tax rate,O’ROURKE: … that you — you tax ordinary income. Take that corporate tax rate up to 28 percent. You would generate the revenues…,… that you — you tax ordinary income. Take that corporate tax rate up to 28 percent. You would generate the revenues…
26,26,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,3,Top tax rate,"GUTHRIE: OK, that’s time.","OK, that’s time."
27,27,6/26/2019,Democrat,"Miami, Florida",O’ROURKE,Candidate,3,Top tax rate,O’ROURKE: … you need to pay for the programs we’re talking about.,… you need to pay for the programs we’re talking about.
28,28,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,3,Top tax rate,GUTHRIE: That’s time. Thank you.,That’s time. Thank you.
29,29,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,4,breaking up of tech companies,"GUTHRIE: Senator Booker, there is a debate in this party right now about the role of corporations, as you know. Senator Warren in particular put out a plan to break up tech companies like Facebook, Amazon, and Google. You’ve said we should not, quote, “be running around pointing at companies and breaking them up without any kind of process.” Why do you disagree?","Senator Booker, there is a debate in this party right now about the role of corporations, as you know. Senator Warren in particular put out a plan to break up tech companies like Facebook, Amazon, and Google. You’ve said we should not, quote, “be running around pointing at companies and breaking them up without any kind of process.” Why do you disagree?"
30,30,6/26/2019,Democrat,"Miami, Florida",BOOKER,Candidate,4,breaking up of tech companies,"BOOKER: I don’t think I disagree. I think we have a serious problem in our country with corporate consolidation. And you see the evidence of that in how dignity is being stripped from labor, and we have people that work full-time jobs and still can’t make a living wage. We see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs. And you see that by just the fact that this is actually an economy that’s hurting small businesses and not allowing them to compete. One of the most aggressive bills in the Senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector. So I feel very strongly about the need to check the corporate consolidation and let the free market work. And I’ll tell you this. I live in a low-income black and brown community. I see every single day that this economy is not working for average Americans. The indicators that are being used, from GDP to Wall Street’s rankings, is not helping people in my community. It is about time that we have an economy that works for everybody, not just the wealthiest in our nation.","I don’t think I disagree. I think we have a serious problem in our country with corporate consolidation. And you see the evidence of that in how dignity is being stripped from labor, and we have people that work full-time jobs and still can’t make a living wage. We see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs. And you see that by just the fact that this is actually an economy that’s hurting small businesses and not allowing them to compete. One of the most aggressive bills in the Senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector. So I feel very strongly about the need to check the corporate consolidation and let the free market work. And I’ll tell you this. I live in a low-income black and brown community. I see every single day that this economy is not working for average Americans. The indicators that are being used, from GDP to Wall Street’s rankings, is not helping people in my community. It is about time that we have an economy that works for everybody, not just the wealthiest in our nation."
31,31,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,4,breaking up of tech companies,"GUTHRIE: But quickly, Senator Booker, you did say that you didn’t think it was right to name names, to name companies and single them out, as Senator Warren has. Briefly, why is that?","But quickly, Senator Booker, you did say that you didn’t think it was right to name names, to name companies and single them out, as Senator Warren has. Briefly, why is that?"
32,32,6/26/2019,Democrat,"Miami, Florida",BOOKER,Candidate,4,breaking up of tech companies,"BOOKER: Well, again, I will single out companies like Halliburton or Amazon that pay nothing in taxes and our need to change that. And when it comes to antitrust law, what I will do is, number one, appoint judges that will enforce it, number two, have a DOJ and a Federal Trade Commission that will go through the processes necessary to check this kind of corporate concentration. At the end of the day, we have too much of a problem with corporate power growing. We see that with everything from Citizens United and the way they’re trying to influence Washington. It’s about time that we have a president that fights for the people in this country…","Well, again, I will single out companies like Halliburton or Amazon that pay nothing in taxes and our need to change that. And when it comes to antitrust law, what I will do is, number one, appoint judges that will enforce it, number two, have a DOJ and a Federal Trade Commission that will go through the processes necessary to check this kind of corporate concentration. At the end of the day, we have too much of a problem with corporate power growing. We see that with everything from Citizens United and the way they’re trying to influence Washington. It’s about time that we have a president that fights for the people in this country…"
33,33,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,4,breaking up of tech companies,"GUTHRIE: That’s time, sir.","That’s time, sir."
34,34,6/26/2019,Democrat,"Miami, Florida",BOOKER,Candidate,4,breaking up of tech companies,BOOKER: We need to have someone that’s a champion for them.,We need to have someone that’s a champion for them.
35,35,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,4,breaking up of tech companies,"GUTHRIE: Thank you, Senator. Senator Warren, I mentioned you … Are you picking winners and losers?","Thank you, Senator. Senator Warren, I mentioned you … Are you picking winners and losers?"
36,36,6/26/2019,Democrat,"Miami, Florida",WARREN,Candidate,4,breaking up of tech companies,"WARREN: So the way I understand this, it’s there is way too much consolidation now in giant industries in this country. That hurts workers. It hurts small businesses. It hurts independent farmers. It hurts our economy overall. And it helps constrict real innovation and growth in this economy. Now, look, we’ve had the laws out there for a long time to be able to fight back. What’s been missing is courage, courage in Washington to take on the giants. That’s part of the corruption in this system. It has been far too long that the monopolies have been making the campaign contributions, have been funding the super PACs, have been out there making sure that their influence is heard and felt in every single decision that gets made in Washington. Where I want to start this is I want to return government to the people, and that means calling out the names of the monopolists and saying I have the courage to go after them.","So the way I understand this, it’s there is way too much consolidation now in giant industries in this country. That hurts workers. It hurts small businesses. It hurts independent farmers. It hurts our economy overall. And it helps constrict real innovation and growth in this economy. Now, look, we’ve had the laws out there for a long time to be able to fight back. What’s been missing is courage, courage in Washington to take on the giants. That’s part of the corruption in this system. It has been far too long that the monopolies have been making the campaign contributions, have been funding the super PACs, have been out there making sure that their influence is heard and felt in every single decision that gets made in Washington. Where I want to start this is I want to return government to the people, and that means calling out the names of the monopolists and saying I have the courage to go after them."
37,37,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,4,breaking up of tech companies,GUTHRIE: Thank you.,Thank you.
38,38,6/26/2019,Democrat,"Miami, Florida",HOLT,Moderator,5,Gender Pay gap,"HOLT: Secretary Castro, the next question is for you. Democrats have been talking about the pay gap for decades. What would you do to ensure that women are paid fairly in this country?","Secretary Castro, the next question is for you. Democrats have been talking about the pay gap for decades. What would you do to ensure that women are paid fairly in this country?"
39,39,6/26/2019,Democrat,"Miami, Florida",CASTRO,Candidate,5,Gender Pay gap,"CASTRO: Thank you very much for that question, Lester. You know, I grew up with a mother who raised my brother, Joaquin, and me as a single parent. And I know what it’s like to struggle. I know what it’s like to rent a home and to worry about whether you’re going to be able to pay the rent at the first of the month and to see a mom work very, very hard and know that moms across this country are getting paid less simply because they’re women. I would do several things, starting with something we should have done a long time ago, which is to pass the Equal Rights Amendment finally in this country. And also pursue legislation so that women are paid equal pay for equal work in this country. It’s past time that we did that. And, you know, we have to do this. If we want to be the most prosperous nation in the 21st century, we need to make sure that women are paid what they deserve.","Thank you very much for that question, Lester. You know, I grew up with a mother who raised my brother, Joaquin, and me as a single parent. And I know what it’s like to struggle. I know what it’s like to rent a home and to worry about whether you’re going to be able to pay the rent at the first of the month and to see a mom work very, very hard and know that moms across this country are getting paid less simply because they’re women. I would do several things, starting with something we should have done a long time ago, which is to pass the Equal Rights Amendment finally in this country. And also pursue legislation so that women are paid equal pay for equal work in this country. It’s past time that we did that. And, you know, we have to do this. If we want to be the most prosperous nation in the 21st century, we need to make sure that women are paid what they deserve."
40,40,6/26/2019,Democrat,"Miami, Florida",HOLT,Moderator,5,Gender Pay gap,"HOLT: All right, thank you. I want to put the same question to Congresswoman Gabbard. Your thoughts on equal pay?","All right, thank you. I want to put the same question to Congresswoman Gabbard. Your thoughts on equal pay?"
41,41,6/26/2019,Democrat,"Miami, Florida",GABBARD,Candidate,5,Gender Pay gap,"GABBARD: First of all, let’s recognize the situation we’re in, that the American people deserve a president who will put your interests ahead of the rich and powerful. That’s not what we have right now. I enlisted in the Army National Guard after the Al Qaida terror attacks on 9/11 so I could go after those who had attacked us on that day. I still serve as a major. I served over 16 years, deployed twice to the Middle East, and in Congress served on the Foreign Affairs and Armed Services Affairs for over six years. I know the importance of our national security, as well as the terribly high cost of war. And for too long, our leaders have failed us, taking us from one regime change war to the next, leading us into a new cold war and arms race, costing us trillions of our hard-earned taxpayer dollars and countless lives. This insanity must end. As president, I will take your hard-earned taxpayer dollars and instead invest those dollars into serving your needs, things like health care, a green economy, good-paying jobs, protecting our environment, and so much more.","First of all, let’s recognize the situation we’re in, that the American people deserve a president who will put your interests ahead of the rich and powerful. That’s not what we have right now. I enlisted in the Army National Guard after the Al Qaida terror attacks on 9/11 so I could go after those who had attacked us on that day. I still serve as a major. I served over 16 years, deployed twice to the Middle East, and in Congress served on the Foreign Affairs and Armed Services Affairs for over six years. I know the importance of our national security, as well as the terribly high cost of war. And for too long, our leaders have failed us, taking us from one regime change war to the next, leading us into a new cold war and arms race, costing us trillions of our hard-earned taxpayer dollars and countless lives. This insanity must end. As president, I will take your hard-earned taxpayer dollars and instead invest those dollars into serving your needs, things like health care, a green economy, good-paying jobs, protecting our environment, and so much more."
42,42,6/26/2019,Democrat,"Miami, Florida",DIAZ-BALART,Candidate,6,Income Inequality,"DIAZ-BALART: Mayor De Blasio, good evening. You’re the mayor of the biggest city in the United States, but it’s also one of the cities in the country with the greatest gap between the wealthy and the poor. How would you address income inequality?","Mayor De Blasio, good evening. You’re the mayor of the biggest city in the United States, but it’s also one of the cities in the country with the greatest gap between the wealthy and the poor. How would you address income inequality?"
43,43,6/26/2019,Democrat,"Miami, Florida",De Blasio,Candidate,6,Income Inequality,"DE BLASIO: Well, we’ve been addressing income inequality in New York City by raising wages, by raising benefits, by putting money back in the hands of working people, $15 minimum wage, paid sick days, pre-K for all, things that are making a huge difference in working people’s lives. But let me tell you, what we’re hearing here already in the first round of questions is that battle for the heart and soul of our party. I want to make it clear. This is supposed to be the party of working people. Yes, we’re supposed to be for a 70 percent tax rate on the wealthy. Yes, we’re supposed to be for free college, free public college, for our young people. We are supposed to break up big corporations when they’re not serving our democracy. This Democratic Party has to be strong and bold and progressive. And in New York, we’ve proven that we can do something very different, we can put money back in the hands of working people. And let me tell you, every time you talk about investing in people and their communities, you hear folks say there’s not enough money. What I say to them every single time is, there’s plenty of money in this world, there’s plenty of money in this country. It’s just in the wrong hands. Democrats have to fix that. (APPLAUSE)","BLASIO: Well, we’ve been addressing income inequality in New York City by raising wages, by raising benefits, by putting money back in the hands of working people, $15 minimum wage, paid sick days, pre-K for all, things that are making a huge difference in working people’s lives. But let me tell you, what we’re hearing here already in the first round of questions is that battle for the heart and soul of our party. I want to make it clear. This is supposed to be the party of working people. Yes, we’re supposed to be for a 70 percent tax rate on the wealthy. Yes, we’re supposed to be for free college, free public college, for our young people. We are supposed to break up big corporations when they’re not serving our democracy. This Democratic Party has to be strong and bold and progressive. And in New York, we’ve proven that we can do something very different, we can put money back in the hands of working people. And let me tell you, every time you talk about investing in people and their communities, you hear folks say there’s not enough money. What I say to them every single time is, there’s plenty of money in this world, there’s plenty of money in this country. It’s just in the wrong hands. Democrats have to fix that. (APPLAUSE)"
44,44,6/26/2019,Democrat,"Miami, Florida",DIAZ-BALART,Candidate,6,Income Inequality,"DIAZ-BALART: Congressman Delaney, do you agree?","Congressman Delaney, do you agree?"
45,45,6/26/2019,Democrat,"Miami, Florida",DELANEY,Candidate,6,Income Inequality,"DELANEY: I think we have to do real things to help American workers and the American people. Right? This is the issue that all of us hear on the campaign trail. We need to make sure everyone has a living wage. And I’ve called for a doubling of the earned income tax credit, raising the minimum wage, and creating paid family leave. That will create a situation where people actually have a living wage. That gets right to workers. Then we’ve got to fix our public education system. It’s not delivering the results our kids needs, nor is college and post high school career and technical training programs doing that. You know, I’m very different than everyone else here on the stage. Prior to being in Congress, I was an entrepreneur. I started two businesses. I created thousands of jobs. I spent my whole career helping small- to mid-sized businesses all over the country, 5,000 of them I supported. The Obama administration gave me an award for lending to disadvantaged communities. I know how to create jobs. We need a short-term strategy which is to put money in the pockets of workers with the earned income tax credit, raising the minimum wage, and creating family leave, and then we need to have a long-term strategy to make sure this country is competitive and we’re creating jobs everywhere in this country.","I think we have to do real things to help American workers and the American people. Right? This is the issue that all of us hear on the campaign trail. We need to make sure everyone has a living wage. And I’ve called for a doubling of the earned income tax credit, raising the minimum wage, and creating paid family leave. That will create a situation where people actually have a living wage. That gets right to workers. Then we’ve got to fix our public education system. It’s not delivering the results our kids needs, nor is college and post high school career and technical training programs doing that. You know, I’m very different than everyone else here on the stage. Prior to being in Congress, I was an entrepreneur. I started two businesses. I created thousands of jobs. I spent my whole career helping small- to mid-sized businesses all over the country, 5,000 of them I supported. The Obama administration gave me an award for lending to disadvantaged communities. I know how to create jobs. We need a short-term strategy which is to put money in the pockets of workers with the earned income tax credit, raising the minimum wage, and creating family leave, and then we need to have a long-term strategy to make sure this country is competitive and we’re creating jobs everywhere in this country."
46,46,6/26/2019,Democrat,"Miami, Florida",DIAZ-BALART,Candidate,6,Income Inequality,"DIAZ-BALART: Thank you. Governor Inslee, how would you address income inequality?","Thank you. Governor Inslee, how would you address income inequality?"
47,47,6/26/2019,Democrat,"Miami, Florida",INSLEE,Candidate,6,Income Inequality,"INSLEE: Well, I’m a little bit surprised. I think plans are great, but I’m a governor. And we’ve got to realize the people who brought us the weekend, unions, need — are going to bring us a long overdue raise in America. And I’m proud of standing up for unions. I’ve got a plan to reinvigorate collective bargaining so we can increase wages finally. I marched with the SEIU folks. It is not right that the CEO of McDonald’s makes 2,100 times more than the people slinging cash at McDonald’s. And the next thing I’ll do is put people to work in the jobs of the present and the future. Look it, Donald Trump is simply wrong. He says wind turbines cause cancer. We know they cause jobs. And we know that we can put millions of people to work in the clean energy jobs of the future. Carpenters, IBEW members, machinists, we’re doing it in my state today. And then we can do what America always does: lead the world and invent the future and put people to work. That’s what we’re going to do…","Well, I’m a little bit surprised. I think plans are great, but I’m a governor. And we’ve got to realize the people who brought us the weekend, unions, need — are going to bring us a long overdue raise in America. And I’m proud of standing up for unions. I’ve got a plan to reinvigorate collective bargaining so we can increase wages finally. I marched with the SEIU folks. It is not right that the CEO of McDonald’s makes 2,100 times more than the people slinging cash at McDonald’s. And the next thing I’ll do is put people to work in the jobs of the present and the future. Look it, Donald Trump is simply wrong. He says wind turbines cause cancer. We know they cause jobs. And we know that we can put millions of people to work in the clean energy jobs of the future. Carpenters, IBEW members, machinists, we’re doing it in my state today. And then we can do what America always does: lead the world and invent the future and put people to work. That’s what we’re going to do…"
48,48,6/26/2019,Democrat,"Miami, Florida",DIAZ-BALART,Candidate,7,Manufacturing Jobs,"DIAZ-BALART: So, Congressman Ryan, President Trump, and you just referred to him, promise of manufacturing jobs were all coming back to places like your home state of Ohio. Can you make that same promise?","So, Congressman Ryan, President Trump, and you just referred to him, promise of manufacturing jobs were all coming back to places like your home state of Ohio. Can you make that same promise?"
49,49,6/26/2019,Democrat,"Miami, Florida",RYAN,Candidate,7,Manufacturing Jobs,"RYAN: Yes, I believe you can, but, first, let’s say the president came, he said don’t sell your house to people in Youngstown, Ohio. And then his administration just in the last two years, we lost $4,000 — 4,000 jobs at a General Motors facility. That rippled throughout our community. General Motors got a tax cut. General Motors got a bailout. And then they have the audacity to move a new car that they’re going to produce to Mexico. I’ve had family members that have to unbolt a machine from the factory floor, put it in a box, and ship it to China. My area where I come from in northeast Ohio, this issue we’re talking about here, it’s been going on 40 years. This is not a new phenomenon in the United States of America. The bottom 60 percent haven’t seen a raise since 1980. Meanwhile, the top 1 percent control 90 percent of the wealth. We need an industrial policy saying we’re going to dominate building electric vehicles, there’s going to be 30 million made in the next 10 years. I want half of them made in the United States. I want to dominate the solar industry…","Yes, I believe you can, but, first, let’s say the president came, he said don’t sell your house to people in Youngstown, Ohio. And then his administration just in the last two years, we lost $4,000 — 4,000 jobs at a General Motors facility. That rippled throughout our community. General Motors got a tax cut. General Motors got a bailout. And then they have the audacity to move a new car that they’re going to produce to Mexico. I’ve had family members that have to unbolt a machine from the factory floor, put it in a box, and ship it to China. My area where I come from in northeast Ohio, this issue we’re talking about here, it’s been going on 40 years. This is not a new phenomenon in the United States of America. The bottom 60 percent haven’t seen a raise since 1980. Meanwhile, the top 1 percent control 90 percent of the wealth. We need an industrial policy saying we’re going to dominate building electric vehicles, there’s going to be 30 million made in the next 10 years. I want half of them made in the United States. I want to dominate the solar industry…"
50,50,6/26/2019,Democrat,"Miami, Florida",DIAZ-BALART,Candidate,7,Manufacturing Jobs,DIAZ-BALART: Thank you.,Thank you.
